date,gun control
2004-01-10,15
2004-01-17,18
2004-01-24,14
2004-01-31,14
2004-02-07,19
2004-02-14,18
2004-02-21,18
2004-02-28,22
2004-03-06,23
2004-03-13,19
2004-03-20,19
2004-03-27,16
2004-04-03,18
2004-04-10,19
2004-04-17,19
2004-04-24,22
2004-05-01,22
2004-05-08,17
2004-05-15,16
2004-05-22,17
2004-05-29,13
2004-06-05,9
2004-06-12,7
2004-06-19,7
2004-06-26,5
2004-07-03,6
2004-07-10,7
2004-07-17,5
2004-07-24,6
2004-07-31,7
2004-08-07,4
2004-08-14,5
2004-08-21,5
2004-08-28,5
2004-09-04,6
2004-09-11,9
2004-09-18,15
2004-09-25,13
2004-10-02,17
2004-10-09,18
2004-10-16,21
2004-10-23,24
2004-10-30,27
2004-11-06,20
2004-11-13,14
2004-11-20,19
2004-11-27,12
2004-12-04,20
2004-12-11,20
2004-12-18,13
2004-12-25,5
2005-01-01,8
2005-01-08,10
2005-01-15,12
2005-01-22,8
2005-01-29,10
2005-02-05,13
2005-02-12,11
2005-02-19,12
2005-02-26,10
2005-03-05,13
2005-03-12,13
2005-03-19,16
2005-03-26,13
2005-04-02,10
2005-04-09,14
2005-04-16,16
2005-04-23,14
2005-04-30,15
2005-05-07,14
2005-05-14,11
2005-05-21,12
2005-05-28,9
2005-06-04,7
2005-06-11,6
2005-06-18,4
2005-06-25,4
2005-07-02,4
2005-07-09,3
2005-07-16,4
2005-07-23,4
2005-07-30,4
2005-08-06,3
2005-08-13,3
2005-08-20,3
2005-08-27,3
2005-09-03,4
2005-09-10,5
2005-09-17,7
2005-09-24,7
2005-10-01,7
2005-10-08,10
2005-10-15,10
2005-10-22,10
2005-10-29,12
2005-11-05,13
2005-11-12,12
2005-11-19,15
2005-11-26,9
2005-12-03,12
2005-12-10,14
2005-12-17,10
2005-12-24,5
2005-12-31,3
2006-01-07,6
2006-01-14,9
2006-01-21,7
2006-01-28,8
2006-02-04,8
2006-02-11,8
2006-02-18,8
