date,isis
2004-01-10,3
2004-01-17,3
2004-01-24,3
2004-01-31,3
2004-02-07,3
2004-02-14,2
2004-02-21,3
2004-02-28,3
2004-03-06,3
2004-03-13,2
2004-03-20,2
2004-03-27,2
2004-04-03,2
2004-04-10,2
2004-04-17,2
2004-04-24,2
2004-05-01,2
2004-05-08,2
2004-05-15,2
2004-05-22,2
2004-05-29,2
2004-06-05,2
2004-06-12,2
2004-06-19,2
2004-06-26,2
2004-07-03,2
2004-07-10,3
2004-07-17,2
2004-07-24,2
2004-07-31,2
2004-08-07,2
2004-08-14,2
2004-08-21,2
2004-08-28,2
2004-09-04,3
2004-09-11,2
2004-09-18,2
2004-09-25,3
2004-10-02,3
2004-10-09,3
2004-10-16,3
2004-10-23,3
2004-10-30,3
2004-11-06,2
2004-11-13,3
2004-11-20,3
2004-11-27,3
2004-12-04,3
2004-12-11,2
2004-12-18,2
2004-12-25,2
2005-01-01,2
2005-01-08,2
2005-01-15,2
2005-01-22,3
2005-01-29,2
2005-02-05,2
2005-02-12,2
2005-02-19,2
2005-02-26,2
2005-03-05,2
2005-03-12,2
2005-03-19,3
2005-03-26,2
2005-04-02,2
2005-04-09,2
2005-04-16,2
2005-04-23,2
2005-04-30,2
2005-05-07,2
2005-05-14,2
2005-05-21,2
2005-05-28,2
2005-06-04,2
2005-06-11,2
2005-06-18,2
2005-06-25,2
2005-07-02,2
2005-07-09,2
2005-07-16,2
2005-07-23,2
2005-07-30,2
2005-08-06,2
2005-08-13,2
2005-08-20,2
2005-08-27,2
2005-09-03,2
2005-09-10,2
2005-09-17,2
2005-09-24,2
2005-10-01,2
2005-10-08,2
2005-10-15,2
2005-10-22,2
2005-10-29,2
2005-11-05,2
2005-11-12,2
2005-11-19,2
2005-11-26,2
2005-12-03,2
2005-12-10,2
2005-12-17,2
2005-12-24,2
2005-12-31,2
2006-01-07,2
2006-01-14,2
2006-01-21,2
2006-01-28,2
2006-02-04,2
2006-02-11,2
2006-02-18,2
2006-02-25,2
2006-03-04,2
2006-03-11,2
2006-03-18,2
2006-03-25,2
2006-04-01,2
2006-04-08,2
2006-04-15,2
2006-04-22,2
2006-04-29,2
2006-05-06,2
2006-05-13,3
2006-05-20,2
2006-05-27,2
2006-06-03,2
2006-06-10,2
2006-06-17,2
2006-06-24,2
2006-07-01,2
2006-07-08,2
2006-07-15,2
2006-07-22,2
2006-07-29,2
2006-08-05,2
2006-08-12,2
2006-08-19,2
2006-08-26,2
2006-09-02,2
2006-09-09,2
2006-09-16,2
2006-09-23,2
2006-09-30,2
2006-10-07,2
2006-10-14,2
2006-10-21,2
2006-10-28,2
2006-11-04,2
2006-11-11,2
2006-11-18,2
2006-11-25,2
2006-12-02,2
2006-12-09,2
2006-12-16,2
2006-12-23,2
2006-12-30,2
2007-01-06,2
2007-01-13,2
2007-01-20,2
2007-01-27,2
2007-02-03,2
2007-02-10,2
2007-02-17,2
2007-02-24,2
2007-03-03,2
2007-03-10,2
2007-03-17,2
2007-03-24,2
2007-03-31,2
2007-04-07,2
2007-04-14,2
2007-04-21,2
2007-04-28,2
2007-05-05,2
2007-05-12,2
2007-05-19,2
2007-05-26,2
2007-06-02,2
2007-06-09,2
2007-06-16,2
2007-06-23,2
2007-06-30,2
2007-07-07,2
2007-07-14,2
2007-07-21,2
2007-07-28,2
2007-08-04,3
2007-08-11,3
2007-08-18,2
2007-08-25,2
2007-09-01,2
2007-09-08,2
2007-09-15,2
2007-09-22,2
2007-09-29,2
2007-10-06,2
2007-10-13,2
2007-10-20,2
2007-10-27,2
2007-11-03,2
2007-11-10,2
2007-11-17,2
2007-11-24,2
2007-12-01,2
2007-12-08,2
2007-12-15,2
2007-12-22,2
2007-12-29,2
2008-01-05,2
2008-01-12,2
2008-01-19,2
2008-01-26,2
2008-02-02,2
2008-02-09,2
2008-02-16,2
2008-02-23,2
2008-03-01,3
2008-03-08,2
2008-03-15,2
2008-03-22,2
2008-03-29,2
2008-04-05,2
2008-04-12,2
2008-04-19,2
2008-04-26,2
2008-05-03,2
2008-05-10,2
2008-05-17,2
2008-05-24,4
2008-05-31,3
2008-06-07,2
2008-06-14,2
2008-06-21,2
2008-06-28,2
2008-07-05,2
2008-07-12,2
2008-07-19,2
2008-07-26,2
2008-08-02,2
2008-08-09,2
2008-08-16,2
2008-08-23,2
2008-08-30,2
2008-09-06,2
2008-09-13,2
2008-09-20,2
2008-09-27,2
2008-10-04,2
2008-10-11,2
2008-10-18,2
2008-10-25,2
2008-11-01,2
2008-11-08,2
2008-11-15,2
2008-11-22,2
2008-11-29,2
2008-12-06,2
2008-12-13,2
2008-12-20,2
2008-12-27,2
2009-01-03,2
2009-01-10,2
2009-01-17,2
2009-01-24,2
2009-01-31,2
2009-02-07,2
2009-02-14,2
2009-02-21,2
2009-02-28,2
2009-03-07,2
2009-03-14,2
2009-03-21,2
2009-03-28,2
2009-04-04,2
2009-04-11,2
2009-04-18,2
2009-04-25,2
2009-05-02,2
2009-05-09,2
2009-05-16,2
2009-05-23,2
2009-05-30,2
2009-06-06,2
2009-06-13,2
2009-06-20,2
2009-06-27,2
2009-07-04,2
2009-07-11,2
2009-07-18,2
2009-07-25,2
2009-08-01,2
2009-08-08,2
2009-08-15,2
2009-08-22,2
2009-08-29,2
2009-09-05,2
2009-09-12,2
2009-09-19,2
2009-09-26,2
2009-10-03,2
2009-10-10,2
2009-10-17,2
2009-10-24,2
2009-10-31,2
2009-11-07,2
2009-11-14,2
2009-11-21,2
